구분,발송일자,메세지 발송명,발송 대상 인원수,발송 조건,메세지 발송 내역(최종전문),메세지 발송 의뢰주체,메세지 발송자,메세지 시스템,종류,CTR,발송차수 (DATA),수주금액(M+1),수주금액(M+3)
1,2025.01.14 14:00,일룸 학생방 프로모션 홍보,"8,566","사업부 : 일룸
수주 일자 : 2019-2022
판매 채널 : 오프라인 / 온라인
시리즈 : 에디키즈, 키즈 공통(책상)","일룸 책상 프로모션 혜택 도착

(광고) (일룸)우리 아이 책상은 NO.1 학생방 전문가 일룸으로♥

우리 아이 책상, 무엇을 사야할지
고민되시나요?

누적 판매 100만대 링키플러스부터
베스트셀러 로이, 신제품 뉴트까지!

NO.1 학생방 전문가 일룸의
노하우로 만들어진 책상 시리즈를
최대 15만원 혜택과 함께 만나보세요!

▼책상 구매 최대 혜택 보러가기▼
https://han.gl/1dgGk

☎ 일룸 고객센터 : 1577-5670

무료거부 080-888-2020
인증코드 590565",황아영/마케팅팀,황아영/마케팅팀,윙고,문자,CTR 확인 불가,12차,"47,995,910",122065957
2,2025.01.08 17:32,작은 작업자들의 학교 팝업 오픈,"73,328","사업부 : 일룸 주문일자 : 2022.01.01~2024.12.31 판매 채널 : 공식몰/오프라인 매장 연령대 : 80-95년생 마케팅동의 : Y 카테고리 : 키즈 & 스터디""","작은 작업자들의 학교 팝업 오픈

(광고) (일룸) 초등맘 주목! <작은 작업자들의 학교> 팝업 오픈★

#{이름}님을 위해
No.1 학생방 전문가 일룸이 준비한
<작은 작업자들의 학교>
팝업 오픈 소식을 알려드려요!

다양한 분야의 전문 마스터들이 준비한
아이와 함께할 수 있는
다양한 체험 프로그램부터

서울대 뇌과학자 '이인아 교수',
청소년 경제 베스트셀러 '김나영 작가' 등 여러 학습 분야 전문가들의
강연과 워크숍까지!

재미와 학습 두 마리 토끼를
다 잡을 수 있는 알찬 프로그램들이
준비되어 있어요♥

지금 바로 캐치테이블을 통해
듣고 싶은 강연과 워크숍을
예약해보세요!

▼예약하러 가기▼
https://url.kr/7nr4u3",황아영/마케팅팀,황아영/마케팅팀,윙고,문자,CTR 확인 불가,13차,"9,970,900",40048636
3,2025.02.20,학생방 프로모션 종료 임박 안내,941,"사업부 : 일룸
견적일자 : 2025.01.20~2025.2.17
(견적 O, 수주 X)
판매 채널 : 오프라인 매장
마케팅동의 : Y
시리즈 : 링키플러스 / 로이
발송대상자 수 : 941명","(광고) (일룸)★15만원 혜택 종료 임박★


#{이름}님을 위해 NO.1 학생방 전문가
일룸이 준비한 학생방 프로모션이
곧 종료돼요!

3월 3일까지만 드리는
책상 구매 ♥최대 15만원 혜택♥
놓치지 말고 만나보세요!

+책상 구매 리뷰 작성 시,
3만원 추가 혜택도 100% 드려요!

▼책상 구매 최대 혜택 받으러가기▼
→ https://vo.la/nCwKqf

☎ 일룸 고객센터 : 1577-5670

무료거부 080-888-2020
인증코드 590565",황아영/마케팅팀,황아영/마케팅팀,윙고,문자,21.4%,14차,"4,684,641",12040656
4,2025.03.21,봄봄 프로모션 혜택 안내,503,"사업부 : 일룸
수주일자 : 2020.03.01~2025.3.01
판매 채널 : 공식몰,오프라인 매장
마케팅동의 : Y
시리즈 : 루오바
발송대상자 수 : 503명","(광고)(일룸)봄 맞이 리빙베스트 한정 혜택♡   

식탁? 책상? 테이블 하나면 충분!   

전동 높이 조절로 라이프스타일에 맞게 
 사용 가능한 업모션 테이블을
 루오바소파를 구매하신 $님께 추천드려요!
 
지금 업모션테이블을 구매하시면
봄맞이 최대 13만원 혜택을 드려요!  

▼리빙베스트 특별 혜택 구경가기▼
 →https://vo.la/nTjPLs 
  ☎ 일룸 고객센터 : 1577-5670  
무료거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,13.1%,15차,-,-
5,2025.04.24,봄봄 프로모션 혜택 종료 임박 안내,160,"사업부 : 일룸
견적일자 : 2025.4.1~2024.4.20
(견적 O, 수주 X)
판매 채널 : 오프라인 매장
마케팅동의 : Y
시리즈 : 밴쿠버/업모션/헤이븐
발송대상자 수 : 150명","(광고)(일룸)최대 70만원 혜택 종료 임박★ 

$님을 위한 베스트 리빙 제품 전용
최대 70만원 혜택이 곧 종료돼요!

일룸의 베스트 리빙 제품을 
최대 혜택으로 만나볼 수 있는
마지막 기획!★

4월 27일까지만 드리는 최대 헤택을
놓치지 말고 받아보세요!

▼프로모션 혜택 받으러가기▼
https://solap.io/PBM80

  ☎ 일룸 고객센터 : 1577-5670  ",황아영/마케팅팀,황아영/마케팅팀,솔라피,문자,57.3%,16차,,
6,2025.05.08,패밀리 위크 프로모션 안내,351,"사업부 : 일룸
견적일자 : 2025.4.1~2024.4.30
(견적 O, 수주 X)
판매 채널 : 오프라인 매장
마케팅동의 : Y
시리즈 : 쿠시노/모션베드/키즈 벙크베드
발송대상자 수 : 351명","(광고)일룸침대최대20만원혜택

우리 가족이 꿈꾸던 침실,
일룸과 함께 하세요!

일룸 침대에 관심을 보여주신
김지연님을 위해 침대 전용
프로모션 혜택을 준비했어요!

국민 침대 쿠시노부터
삶의 질 UP시켜줄 모션베드까지★

우리 가족 로망을 실현시켜줄 침실,
최대 20만원 혜택과 함께하세요!

Family Week 혜택 보러가기
▶
https://solap.io/qqVG04RTRv
접속 기록 없음


☎ 일룸 고객센터 : 1577-5670
무료수신거부 080-500-4233",황아영/마케팅팀,황아영/마케팅팀,솔라피,문자,,,,
7,2025.05.15,퍼네이션 홍보,995,"사업부 : 일룸
수주일자 : 2023.01.01~2025.5.15
판매 채널 : 공식몰,오프라인 매장
마케팅동의 : Y
시리즈 : 캐스터네츠
발송대상자 수 : 995명","
(광고)(일룸)후기 하나로, 유기묘의 끼니를 챙겨주세요♡
 
$1님, 일룸 캣타워 
잘 사용하고 계신가요?
 
일룸 캣타워를 사용하는
우리 집 냥이의 일상을 
기록하고, 공유하는 것만으로
다른 냥이에게 따뜻한 하루를 
선물할 수 있어요♡
 
지금 후기 이벤트 참여하고, 
3마리의 냥이에게
따뜻한 하루를 선물해주세요!
 
▼유기묘 사료기부 이벤트
참여 하러가기▼
https://solap.io/yPdI0
 
☎ 일룸 고객센터 : 1577-5670
무료거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
8,2025.05.21,롯데구리점 오픈 홍보,941,"사업부 : 일룸
수주일자 : 2023.01.01~2024.12.31
판매 채널 : 일룸 구리남양주점
마케팅동의 : Y
시리즈 : 전체
발송대상자 수 : 941명","
(광고)(일룸)★일룸 롯데백화점 구리점 오픈 기념 이벤트★

$1님 안녕하세요!

일룸이 롯데백화점 구리점 7층에 
새롭게 문을열었습니다!

일룸 롯데백화점 구리점에서 드리는
특별한 선물과 베스트셀러 제품 전용
최대 50% 프로모션 혜택을
놓치지 말고 만나보세요!

▼최대 50% 혜택 보러가기▼
https://url.kr/lg6kfa

☎ 일룸 롯데구리점 
031-564-0077

무료거부
080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
9,2025.05.28,두들 설문조사,,"사업부 : 일룸
견적일자 : 2024.10.1~2025.5.25
(수주 O)
판매 채널 : 오프라인 매장,공식몰
마케팅동의 : Y
시리즈 : 두들 벙크베드
발송대상자 수 : 185명","(광고)(일룸) $1님, 두들 벙크베드 잘 사용하고 계신가요?
 
구매하신 [두들 벙크베드] 사용 경험에 대한
소중한 의견을 듣고자 
간단한 설문을 진행하고자 합니다!
 
★설문 참여 시, 스타벅스 기프티콘 100% 증정
★우수답변자에겐 스타벅스1만원 상품권 증정
 
지금 바로 설문 참여하고,
기프티콘 받아가세요!
→https://vo.la/rPhrVff",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
10,2025.05.30,롯데 광복/동부산 팝업 OPEN,,"사업부 : 일룸
수주일자 : 2022.01.01~2025.1.31
판매 채널 : 일룸 오프라인 매장, 공식몰
지역 : 
1) 롯데 광복 - 부산광역시 중구 (37명)
2) 롯데 동부산 - 부산광역시 기장군 (739명)

마케팅동의 : Y
시리즈 : 전체
발송대상자 수 : 776명","
(광고)(일룸)BEST 제품 최대 50% 혜택

$1님, 안녕하세요. 일룸입니다!

변우석X채수빈 배우와 함께한
'일룸이 이룸' 캠페인 기념,

일룸 롯데 메종동부산점에서 
팝업 행사를 진행합니다!

헤이븐 매트리스 구매 시, 최대 50% 혜택 등
다양한 혜택을 롯데 메종동부산점에서 만나보세요!
 
♥일룸 롯데 메종동부산점 안내♥ 
→ https://vo.la/DcQXRaZ

♥변우석의 러브레터 보러가기♥
→ https://vo.la/UKIVBeg
 
☎ 일룸 롯데 메종동부산점 
051-901-2355

무료거부 080-877-6013


2) 롯데 광복_중구

(광고)(일룸)BEST 제품 최대 50% 혜택

$1님, 안녕하세요. 일룸입니다!

변우석X채수빈 배우와 함께한
'일룸이 이룸' 캠페인 기념,

일룸 롯데광복점에서 
팝업 행사를 진행합니다!

헤이븐 매트리스 구매 시, 최대 50% 혜택 등
다양한 혜택을 롯데 메종동부산점에서 만나보세요!


♥일룸 롯데광복점 안내♥ 
→ https://vo.la/qHYSifc

♥변우석의 러브레터 보러가기♥
→ https://vo.la/UKIVBeg
 
☎ 일룸 롯데광복점 051-678-3923

무료거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
